artist_id,name,raw_variants,positive_count,negative_count,total_count,avg_positive_weight,max_positive_weight,min_positive_weight,preset_count,preset_ids,sample_preset_names
kyapefuro,kyapefuro,kyapefuro,3,0,3,0.8,1.3,0.25,3,artist_00031; artist_00072; artist_00073,HisFirst / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / 3::flat color:: <<another feeling | Slave / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D | Slave v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D
lakilolom,lakilolom,lakilolom,3,0,3,1.833,2.0,1.5,3,artist_00011; artist_00056; artist_00057,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #6 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #7 / Philia의 그림체(arca) / Balanced Semi 2D
lunch_(shin_new),lunch_(shin_new),lunch (shin new),3,0,3,0.967,1.2,0.8,3,artist_00010; artist_00020; artist_00025,Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | FMNZTN's 19 / FMNZTN의 그림체(arca) / Balanced Semi 2D / zagle zagle and looks good | FMNZTN's 6 / FMNZTN의 그림체(arca) / Balanced Semi 2D / many humanbody ZzinBba
mamerakkkkko,mamerakkkkko,mamerakkkkko,3,0,3,0.85,0.85,0.85,3,artist_00060; artist_00061; artist_00062,Power mamerakkkkko / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / incomplete | Power mamerakkkkko v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / jeneral out | Power mamerakkkkko v3 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / modernize
manglifer,manglifer,manglifer,3,0,3,1.45,1.45,1.45,3,artist_00034; artist_00035; artist_00036,I like artist:homunculus / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / ongoing | I like artist:homunculus v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join niichi_(komorebi-palette) | I like artist:homunculus v3 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join artist:contllenge
meme50,meme50,meme50,3,0,3,1.633,1.8,1.5,3,artist_00065; artist_00066; artist_00067,Shrimp with soy sauce #2 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #3 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #4 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
null_(nyanpyoun),null_(nyanpyoun),null (nyanpyoun); null_(nyanpyoun),3,0,3,0.9,1.5,0.6,3,artist_00011; artist_00056; artist_00057,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #6 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #7 / Philia의 그림체(arca) / Balanced Semi 2D
putama,putama,putama,3,0,3,1.8,3.0,1.2,3,artist_00063; artist_00076; artist_00079,Putama base / Philia의 그림체(arca) / Balanced Semi 2D | Token say help me / Philia의 그림체(arca) / Balanced Semi 2D | Xipa base / Philia의 그림체(arca) / Balanced Semi 2D
qiandaiyiyu,qiandaiyiyu,qiandaiyiyu,3,0,3,1.0,1.3,0.7,3,artist_00020; artist_00032; artist_00075,FMNZTN's 19 / FMNZTN의 그림체(arca) / Balanced Semi 2D / zagle zagle and looks good | HisPreciousStyle / DPTG의 그림체(arca) / Balanced Semi 2D | Tasty style / ㅇㅇ#50034106의 그림체(arca) / Balanced Semi 2D
spoiledmuffin,spoiledmuffin,spoiledmuffin,3,0,3,0.6,0.6,0.6,3,artist_00012; artist_00037; artist_00054,FMNZTN's 1 / FMNZTN의 그림체(arca) / Dot | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty | Philia #4 / Philia의 그림체(arca) / Balanced Semi 2D
sutochan,sutochan,sutochan,3,0,3,1.7,1.7,1.7,3,artist_00060; artist_00061; artist_00062,Power mamerakkkkko / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / incomplete | Power mamerakkkkko v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / jeneral out | Power mamerakkkkko v3 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / modernize
takanashi_shin,takanashi_shin,takanashi_shin,3,0,3,0.65,0.65,0.65,3,artist_00060; artist_00061; artist_00062,Power mamerakkkkko / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / incomplete | Power mamerakkkkko v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / jeneral out | Power mamerakkkkko v3 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / modernize
uo_denim,uo_denim,uo_denim,3,0,3,1.267,1.5,0.8,3,artist_00002; artist_00040; artist_00059,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #9 / Philia의 그림체(arca) / Balanced Semi 2D
yoya_yogurt,yoya_yogurt,yoya yogurt; yoya_yogurt,3,0,3,1.1,1.6,0.45,3,artist_00033; artist_00074; artist_00075,Human ranch / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D | Slave2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D | Tasty style / ㅇㅇ#50034106의 그림체(arca) / Balanced Semi 2D
yuune_(ayanepuna),yuune_(ayanepuna),yuune (ayanepuna); yuune_(ayanepuna),3,0,3,1.0,2.0,0.5,3,artist_00011; artist_00056; artist_00057,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D | Philia #6 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #7 / Philia의 그림체(arca) / Balanced Semi 2D
96yottea,96yottea,96yottea,2,0,2,0.925,1.1,0.75,2,artist_00022; artist_00075,FMNZTN's 3 / FMNZTN의 그림체(arca) / Realistic Semi 2D / tasty chicken farm | Tasty style / ㅇㅇ#50034106의 그림체(arca) / Balanced Semi 2D
ciloranko,ciloranko,ciloranko,2,0,2,1.05,1.3,0.8,2,artist_00014; artist_00058,FMNZTN's 12 / FMNZTN의 그림체(arca) / Balanced Semi 2D / low NSFW success | Philia #8 / Philia의 그림체(arca) / Balanced Semi 2D
contllenge,contllenge,contllenge,2,0,2,1.15,1.35,0.95,2,artist_00036; artist_00074,I like artist:homunculus v3 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join artist:contllenge | Slave2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D
dishwasher1910,dishwasher1910,dishwasher1910,2,0,2,1.2,1.3,1.1,2,artist_00025; artist_00075,FMNZTN's 6 / FMNZTN의 그림체(arca) / Balanced Semi 2D / many humanbody ZzinBba | Tasty style / ㅇㅇ#50034106의 그림체(arca) / Balanced Semi 2D
dryegen,dryegen,dryegen,2,0,2,1.8,1.8,1.8,2,artist_00007; artist_00052,Cartoon style / Philia의 그림체(arca) / 2D | Philia #20 / Philia의 그림체(arca) / 2D
gebijiade_89,gebijiade_89,gebijiade_89,2,0,2,0.7,0.7,0.7,2,artist_00067; artist_00068,Shrimp with soy sauce #4 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #5 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
godiva_ghoul,godiva_ghoul,godiva ghoul,2,0,2,0.85,1.2,0.5,2,artist_00010; artist_00022,Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | FMNZTN's 3 / FMNZTN의 그림체(arca) / Realistic Semi 2D / tasty chicken farm
haguhagu_(rinjuu_circus),haguhagu_(rinjuu_circus),haguhagu (rinjuu_circus),2,0,2,0.6,0.6,0.6,2,artist_00007; artist_00052,Cartoon style / Philia의 그림체(arca) / 2D | Philia #20 / Philia의 그림체(arca) / 2D
hanabushi,hanabushi,hanabushi,2,0,2,1.5,1.5,1.5,2,artist_00007; artist_00052,Cartoon style / Philia의 그림체(arca) / 2D | Philia #20 / Philia의 그림체(arca) / 2D
handplug,handplug,handplug,2,0,2,1.35,1.5,1.2,2,artist_00002; artist_00003,Asanagi base / Philia의 그림체(arca) / Balanced Semi 2D | Asanagi base v2 / Philia의 그림체(arca) / Balanced Semi 2D
hintobento,hintobento,hintobento,2,0,2,1.25,2.0,0.5,2,artist_00018; artist_00021,FMNZTN's 17 / FMNZTN의 그림체(arca) / Balanced Semi 2D / tatsuki base | FMNZTN's 2 / FMNZTN의 그림체(arca) / Balanced Semi 2D / Yankee's sense
horikou,horikou,horikou,2,0,2,1.35,1.5,1.2,2,artist_00009; artist_00037,Channel zwa style ffffinal / Philia의 그림체(arca) / Balanced Semi 2D | Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty
komugiko_2000,komugiko_2000,komugiko_2000,2,0,2,2.45,2.5,2.4,2,artist_00007; artist_00052,Cartoon style / Philia의 그림체(arca) / 2D | Philia #20 / Philia의 그림체(arca) / 2D
kurosteel_ds,kurosteel_ds,kurosteel_ds,2,0,2,1.0,1.2,0.8,2,artist_00051; artist_00057,Philia #2 / Philia의 그림체(arca) / Realistic Semi 2D | Philia #7 / Philia의 그림체(arca) / Balanced Semi 2D
kyoeikyoei52906,kyoeikyoei52906,kyoeikyoei52906,2,0,2,0.7,0.7,0.7,2,artist_00007; artist_00052,Cartoon style / Philia의 그림체(arca) / 2D | Philia #20 / Philia의 그림체(arca) / 2D
maki_keigo,maki_keigo,maki_keigo,2,0,2,2.0,2.0,2.0,2,artist_00047; artist_00055,Philia #16 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #5 / Philia의 그림체(arca) / Balanced Semi 2D
miito_(meeeeton333),miito_(meeeeton333),miito (meeeeton333),2,0,2,2.5,3.0,2.0,2,artist_00049; artist_00076,Philia #18 / Philia의 그림체(arca) / Balanced Semi 2D | Token say help me / Philia의 그림체(arca) / Balanced Semi 2D
mika_pikazo,mika_pikazo,mika pikazo,2,0,2,1.05,1.3,0.8,2,artist_00001; artist_00032,13002#1 / 13002의 그림체(arca) / Semi Realistic | HisPreciousStyle / DPTG의 그림체(arca) / Balanced Semi 2D
misaka_12003-gou,misaka_12003-gou,misaka_12003-gou,2,0,2,0.6,0.6,0.6,2,artist_00040; artist_00059,Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #9 / Philia의 그림체(arca) / Balanced Semi 2D
momokumo,momokumo,momokumo,2,0,2,1.45,2.0,0.9,2,artist_00017; artist_00067,FMNZTN's 16 / FMNZTN의 그림체(arca) / Balanced Semi 2D / terasu mix | Shrimp with soy sauce #4 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
nai_ga,nai_ga,nai ga,2,0,2,2.5,3.0,2.0,1,artist_00008,Casual & Heavy color / CostaRocky의 그림체(arca) / Balanced Semi 2D
niichi_(komorebi-palette),niichi_(komorebi-palette),niichi_(komorebi-palette),2,0,2,1.15,1.25,1.05,2,artist_00035; artist_00036,I like artist:homunculus v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join niichi_(komorebi-palette) | I like artist:homunculus v3 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join artist:contllenge
norakura_(nr_kura),norakura_(nr_kura),norakura_(nr_kura),2,0,2,0.75,0.85,0.65,2,artist_00005; artist_00077,Athlete v2 / Nakamasa_Ichika의 그림체(arca) / 2D-like Semi 2D / abs | Western / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join artist:contllenge
oda_non,oda_non,oda_non,2,0,2,1.45,1.8,1.1,2,artist_00065; artist_00066,Shrimp with soy sauce #2 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #3 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
ouchi_kaeru,ouchi_kaeru,ouchi_kaeru,2,0,2,1.2,1.2,1.2,2,artist_00063; artist_00079,Putama base / Philia의 그림체(arca) / Balanced Semi 2D | Xipa base / Philia의 그림체(arca) / Balanced Semi 2D
pigeon666,pigeon666,pigeon666,2,0,2,1.1,1.2,1.0,2,artist_00048; artist_00064,Philia #17 / Philia의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #1 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
porinki,porinki,porinki,2,0,2,1.85,1.85,1.85,2,artist_00004; artist_00005,Athlete / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / abs / big deviation | Athlete v2 / Nakamasa_Ichika의 그림체(arca) / 2D-like Semi 2D / abs
rei_(sanbonzakura),rei_(sanbonzakura),rei_(sanbonzakura),2,0,2,0.95,1.1,0.8,2,artist_00067; artist_00068,Shrimp with soy sauce #4 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D | Shrimp with soy sauce #5 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
shiokonbu,shiokonbu,shiokonbu,2,0,2,1.5,1.8,1.2,2,artist_00040; artist_00059,Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #9 / Philia의 그림체(arca) / Balanced Semi 2D
shiroi_yoru,shiroi_yoru,shiroi yoru,2,0,2,2.1,3.0,1.2,2,artist_00051; artist_00059,Philia #2 / Philia의 그림체(arca) / Realistic Semi 2D | Philia #9 / Philia의 그림체(arca) / Balanced Semi 2D
suga_hideo,suga_hideo,suga_hideo,2,0,2,1.85,2.5,1.2,2,artist_00049; artist_00057,Philia #18 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #7 / Philia의 그림체(arca) / Balanced Semi 2D
taaru_(taru),taaru_(taru),taaru (taru),2,0,2,0.75,0.9,0.6,2,artist_00049; artist_00058,Philia #18 / Philia의 그림체(arca) / Balanced Semi 2D | Philia #8 / Philia의 그림체(arca) / Balanced Semi 2D
teshima_nari,teshima_nari,teshima nari,2,0,2,1.05,1.6,0.5,2,artist_00020; artist_00068,FMNZTN's 19 / FMNZTN의 그림체(arca) / Balanced Semi 2D / zagle zagle and looks good | Shrimp with soy sauce #5 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
torino_aqua,torino_aqua,torino aqua,2,0,2,1.7,1.8,1.6,2,artist_00032; artist_00075,HisPreciousStyle / DPTG의 그림체(arca) / Balanced Semi 2D | Tasty style / ㅇㅇ#50034106의 그림체(arca) / Balanced Semi 2D
wengwengchim,wengwengchim,wengwengchim,2,0,2,1.45,2.0,0.9,2,artist_00001; artist_00029,13002#1 / 13002의 그림체(arca) / Semi Realistic | He is goalzalal... / 82825874892의 그림체(arca) / 2D-like Semi 2D
yoneyama_mai,yoneyama_mai,Yoneyama Mai; yoneyama mai,2,0,2,0.925,1.25,0.6,2,artist_00014; artist_00022,FMNZTN's 12 / FMNZTN의 그림체(arca) / Balanced Semi 2D / low NSFW success | FMNZTN's 3 / FMNZTN의 그림체(arca) / Realistic Semi 2D / tasty chicken farm
zero_q_0q,zero_q_0q,zero q 0q,2,0,2,1.5,1.5,1.5,2,artist_00010; artist_00022,Classic art style / Philia의 그림체(arca) / Realistic Semi 2D | FMNZTN's 3 / FMNZTN의 그림체(arca) / Realistic Semi 2D / tasty chicken farm
adpx,adpx,adpx,1,0,1,0.8,0.8,0.8,1,artist_00011,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D
aduare,aduare,aduare,1,0,1,2.5,2.5,2.5,1,artist_00054,Philia #4 / Philia의 그림체(arca) / Balanced Semi 2D
ahiru_tokotoko,ahiru_tokotoko,ahiru_tokotoko,1,0,1,0.8,0.8,0.8,1,artist_00054,Philia #4 / Philia의 그림체(arca) / Balanced Semi 2D
ainy,ainy,ainy,1,0,1,1.5,1.5,1.5,1,artist_00029,He is goalzalal... / 82825874892의 그림체(arca) / 2D-like Semi 2D
aiue_oka,aiue_oka,aiue oka,1,0,1,0.85,0.85,0.85,1,artist_00025,FMNZTN's 6 / FMNZTN의 그림체(arca) / Balanced Semi 2D / many humanbody ZzinBba
akiyama_enma,akiyama_enma,akiyama_enma,1,0,1,0.4,0.4,0.4,1,artist_00058,Philia #8 / Philia의 그림체(arca) / Balanced Semi 2D
albino_(a1b1n0623),albino_(a1b1n0623),albino (a1b1n0623),1,0,1,1.0,1.0,1.0,1,artist_00008,Casual & Heavy color / CostaRocky의 그림체(arca) / Balanced Semi 2D
ama_mitsuki,ama_mitsuki,ama mitsuki,1,0,1,1.0,1.0,1.0,1,artist_00001,13002#1 / 13002의 그림체(arca) / Semi Realistic
aoki_(fumomo),aoki_(fumomo),aoki (fumomo),1,0,1,1.5,1.5,1.5,1,artist_00029,He is goalzalal... / 82825874892의 그림체(arca) / 2D-like Semi 2D
arang_(arang0220),arang_(arang0220),arang (arang0220),1,0,1,1.2,1.2,1.2,1,artist_00011,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D
arisaka_ako,arisaka_ako,arisaka ako,1,0,1,1.9,1.9,1.9,1,artist_00020,FMNZTN's 19 / FMNZTN의 그림체(arca) / Balanced Semi 2D / zagle zagle and looks good
artelsia,artelsia,artelsia,1,0,1,0.7,0.7,0.7,1,artist_00031,HisFirst / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / 3::flat color:: <<another feeling
ask_(askzy),ask_(askzy),ask (askzy),1,0,1,1.5,1.5,1.5,1,artist_00010,Classic art style / Philia의 그림체(arca) / Realistic Semi 2D
au_(d_elete),au_(d_elete),au (d elete),1,0,1,2.3,2.3,2.3,1,artist_00010,Classic art style / Philia의 그림체(arca) / Realistic Semi 2D
bacius,bacius,bacius,1,0,1,1.75,1.75,1.75,1,artist_00039,Man who don’t give up / 포기하지않는남자의 그림체(arca) / Balanced Semi 2D / Hard outline
benevole,benevole,benevole,1,0,1,0.65,0.65,0.65,1,artist_00033,Human ranch / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D
blue_gk,blue_gk,blue gk,1,0,1,0.5,0.5,0.5,1,artist_00020,FMNZTN's 19 / FMNZTN의 그림체(arca) / Balanced Semi 2D / zagle zagle and looks good
bm94199,bm94199,bm94199,1,0,1,1.6,1.6,1.6,1,artist_00075,Tasty style / ㅇㅇ#50034106의 그림체(arca) / Balanced Semi 2D
chan_co,chan_co,chan co,1,0,1,1.5,1.5,1.5,1,artist_00011,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D
cola_gotouryouta,cola_gotouryouta,cola gotouryouta,1,0,1,1.1,1.1,1.1,1,artist_00025,FMNZTN's 6 / FMNZTN의 그림체(arca) / Balanced Semi 2D / many humanbody ZzinBba
dfm_(darknessdfm),dfm_(darknessdfm),dfm (darknessdfm),1,0,1,1.5,1.5,1.5,1,artist_00010,Classic art style / Philia의 그림체(arca) / Realistic Semi 2D
disorder!,disorder!,disorder!,1,0,1,1.05,1.05,1.05,1,artist_00033,Human ranch / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D
doppel_(bonnypir),doppel_(bonnypir),doppel_(bonnypir),1,0,1,1.5,1.5,1.5,1,artist_00055,Philia #5 / Philia의 그림체(arca) / Balanced Semi 2D
duoyuanjun,duoyuanjun,duoyuanjun,1,0,1,1.6,1.6,1.6,1,artist_00030,Hikirjikq's style / Hikirjikq의 그림체(arca) / Balanced Semi 2D
fernanda_suarez,fernanda_suarez,fernanda suarez,1,0,1,0.5,0.5,0.5,1,artist_00001,13002#1 / 13002의 그림체(arca) / Semi Realistic
fujimoto_tatsuki,fujimoto_tatsuki,fujimoto tatsuki,1,0,1,2.5,2.5,2.5,1,artist_00018,FMNZTN's 17 / FMNZTN의 그림체(arca) / Balanced Semi 2D / tatsuki base
fungi542,fungi542,fungi542,1,0,1,0.5,0.5,0.5,1,artist_00078,Wo_habum base / Philia의 그림체(arca) / Balanced Semi 2D / KOR webtoon taste
goguma_wagamja,goguma_wagamja,goguma wagamja,1,0,1,2.0,2.0,2.0,1,artist_00078,Wo_habum base / Philia의 그림체(arca) / Balanced Semi 2D / KOR webtoon taste
halcon,halcon,halcon,1,0,1,1.2,1.2,1.2,1,artist_00040,Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D
hayakawa_akari,hayakawa_akari,hayakawa_akari,1,0,1,1.15,1.15,1.15,1,artist_00074,Slave2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D
henken,henken,henken,1,0,1,1.1,1.1,1.1,1,artist_00064,Shrimp with soy sauce #1 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
hito_komoru,hito_komoru,hito_komoru,1,0,1,1.1,1.1,1.1,1,artist_00064,Shrimp with soy sauce #1 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
huanxiang_heitu,huanxiang_heitu,huanxiang heitu,1,0,1,1.0,1.0,1.0,1,artist_00008,Casual & Heavy color / CostaRocky의 그림체(arca) / Balanced Semi 2D
huhi_(huhi_1211),huhi_(huhi_1211),huhi (huhi 1211),1,0,1,1.2,1.2,1.2,1,artist_00058,Philia #8 / Philia의 그림체(arca) / Balanced Semi 2D
hxxg,hxxg,hxxg,1,0,1,0.8,0.8,0.8,1,artist_00064,Shrimp with soy sauce #1 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
ikemeru19,ikemeru19,ikemeru19,1,0,1,3.0,3.0,3.0,1,artist_00044,Philia #13 / Philia의 그림체(arca) / Balanced Semi 2D
ikeuchi_tanuma,ikeuchi_tanuma,ikeuchi tanuma,1,0,1,1.2,1.2,1.2,1,artist_00048,Philia #17 / Philia의 그림체(arca) / Balanced Semi 2D
iwawa,iwawa,iwawa,1,0,1,0.7,0.7,0.7,1,artist_00076,Token say help me / Philia의 그림체(arca) / Balanced Semi 2D
jagercoke,jagercoke,jagercoke,1,0,1,0.9,0.9,0.9,1,artist_00001,13002#1 / 13002의 그림체(arca) / Semi Realistic
jp06,jp06,jp06,1,0,1,0.6,0.6,0.6,1,artist_00065,Shrimp with soy sauce #2 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
jp06_(orangemaru),jp06_(orangemaru),jp06_(orangemaru),1,0,1,1.2,1.2,1.2,1,artist_00055,Philia #5 / Philia의 그림체(arca) / Balanced Semi 2D
junsuina_fujunbutsu,junsuina_fujunbutsu,junsuina fujunbutsu,1,0,1,3.0,3.0,3.0,1,artist_00011,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D
k3nnyn3v,k3nnyn3v,k3nnyn3v,1,0,1,0.4,0.4,0.4,1,artist_00012,FMNZTN's 1 / FMNZTN의 그림체(arca) / Dot
kanden_sky,kanden_sky,kanden_sky,1,0,1,0.9,0.9,0.9,1,artist_00005,Athlete v2 / Nakamasa_Ichika의 그림체(arca) / 2D-like Semi 2D / abs
kedama_milk,kedama_milk,kedama milk,1,0,1,1.4,1.4,1.4,1,artist_00032,HisPreciousStyle / DPTG의 그림체(arca) / Balanced Semi 2D
kiriyama_taichi,kiriyama_taichi,kiriyama_taichi,1,0,1,0.4,0.4,0.4,1,artist_00073,Slave v2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D
kokemomo_(makesound),kokemomo_(makesound),kokemomo_(makesound),1,0,1,1.2,1.2,1.2,1,artist_00058,Philia #8 / Philia의 그림체(arca) / Balanced Semi 2D
koutate,koutate,koutate,1,0,1,0.8,0.8,0.8,1,artist_00074,Slave2 / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D
krystopher_decker,krystopher_decker,krystopher_decker,1,0,1,0.35,0.35,0.35,1,artist_00077,Western / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D / join artist:contllenge
kuook,kuook,kuook,1,0,1,0.7,0.7,0.7,1,artist_00069,Shrimp with soy sauce #6 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
lal!role,lal!role,lal!role,1,0,1,1.1,1.1,1.1,1,artist_00064,Shrimp with soy sauce #1 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
liduke,liduke,liduke,1,0,1,1.5,1.5,1.5,1,artist_00014,FMNZTN's 12 / FMNZTN의 그림체(arca) / Balanced Semi 2D / low NSFW success
liu2e3ing,liu2e3ing,liu2e3ing,1,0,1,1.2,1.2,1.2,1,artist_00001,13002#1 / 13002의 그림체(arca) / Semi Realistic
lunch(shin_new),lunch(shin_new),lunch(shin new),1,0,1,1.3,1.3,1.3,1,artist_00030,Hikirjikq's style / Hikirjikq의 그림체(arca) / Balanced Semi 2D
mabius,mabius,mabius,1,0,1,2.5,2.5,2.5,1,artist_00054,Philia #4 / Philia의 그림체(arca) / Balanced Semi 2D
mejikara_scene,mejikara_scene,mejikara_scene,1,0,1,0.8,0.8,0.8,1,artist_00037,Inoue kiyoshirou base / Philia의 그림체(arca) / Balanced Semi 2D / milf tasty
mikoyan,mikoyan,mikoyan,1,0,1,1.5,1.5,1.5,1,artist_00021,FMNZTN's 2 / FMNZTN의 그림체(arca) / Balanced Semi 2D / Yankee's sense
mimonel,mimonel,mimonel,1,0,1,1.5,1.5,1.5,1,artist_00055,Philia #5 / Philia의 그림체(arca) / Balanced Semi 2D
minaba_hideo,minaba_hideo,minaba hideo,1,0,1,1.5,1.5,1.5,1,artist_00022,FMNZTN's 3 / FMNZTN의 그림체(arca) / Realistic Semi 2D / tasty chicken farm
mossacannibalis,mossacannibalis,mossacannibalis,1,0,1,0.8,0.8,0.8,1,artist_00021,FMNZTN's 2 / FMNZTN의 그림체(arca) / Balanced Semi 2D / Yankee's sense
myabit,myabit,myabit,1,0,1,1.85,1.85,1.85,1,artist_00020,FMNZTN's 19 / FMNZTN의 그림체(arca) / Balanced Semi 2D / zagle zagle and looks good
nakta,nakta,nakta,1,0,1,2.0,2.0,2.0,1,artist_00011,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D
namori,namori,namori,1,0,1,2.5,2.5,2.5,1,artist_00016,FMNZTN's 14 / FMNZTN의 그림체(arca) / Dot / sparrowl base
nico-tine,nico-tine,nico-tine,1,0,1,1.5,1.5,1.5,1,artist_00021,FMNZTN's 2 / FMNZTN의 그림체(arca) / Balanced Semi 2D / Yankee's sense
nixeu,nixeu,nixeu,1,0,1,0.6,0.6,0.6,1,artist_00010,Classic art style / Philia의 그림체(arca) / Realistic Semi 2D
nogiwa_kaede,nogiwa_kaede,nogiwa_kaede,1,0,1,3.0,3.0,3.0,1,artist_00057,Philia #7 / Philia의 그림체(arca) / Balanced Semi 2D
obui,obui,obui,1,0,1,0.8,0.8,0.8,1,artist_00019,FMNZTN's 18 / FMNZTN의 그림체(arca) / Semi Dot / muchimaro base
oohiro_rin,oohiro_rin,oohiro_rin,1,0,1,2.35,2.35,2.35,1,artist_00072,Slave / Nakamasa_Ichika의 그림체(arca) / Balanced Semi 2D
oopartz_yang,oopartz_yang,oopartz yang,1,0,1,1.2,1.2,1.2,1,artist_00076,Token say help me / Philia의 그림체(arca) / Balanced Semi 2D
op_na_yarou,op_na_yarou,op na yarou,1,0,1,1.5,1.5,1.5,1,artist_00011,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D
otu_(o2h2_oh4),otu_(o2h2_oh4),otu_(o2h2_oh4),1,0,1,1.5,1.5,1.5,1,artist_00011,Cute style / Philia의 그림체(arca) / 2D-like Semi 2D
parsley-f,parsley-f,parsley-f,1,0,1,1.4,1.4,1.4,1,artist_00040,Philia #1 / Philia의 그림체(arca) / Balanced Semi 2D
rerrere,rerrere,rerrere,1,0,1,0.8,0.8,0.8,1,artist_00065,Shrimp with soy sauce #2 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
roborobocap,roborobocap,roborobocap,1,0,1,0.7,0.7,0.7,1,artist_00001,13002#1 / 13002의 그림체(arca) / Semi Realistic
rororogi_mogera,rororogi_mogera,rororogi_mogera,1,0,1,1.2,1.2,1.2,1,artist_00067,Shrimp with soy sauce #4 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
rusellunt,rusellunt,rusellunt,1,0,1,0.5,0.5,0.5,1,artist_00069,Shrimp with soy sauce #6 / 간장새우맛칩의 그림체(arca) / Balanced Semi 2D
